Bacharelado	Matutino	Passos	UEMG	MG	Ampla concorrência	778.85	2020-01-25T00:05:20
Bacharelado	Integral	Uberaba	UFTM	MG	Ampla concorrência	731.76	2020-01-25T00:05:20
Bacharelado	Integral	Viçosa	UFV	MG	Ampla concorrência	706.22	2020-01-25T00:05:20
Bacharelado	Integral	Campo Grande	UFMS	MS	Ampla concorrência	718.94	2020-01-25T00:05:20
Bacharelado	Integral	Coxim	UFMS	MS	Ampla concorrência	701.50	2020-01-25T00:05:20
Bacharelado	Integral	Dourados	UEMS	MS	Ampla concorrência	674.88	2020-01-25T00:05:20
Bacharelado	Integral	Três Lagoas	UFMS	MS	Ampla concorrência	704.09	2020-01-25T00:05:20
Bacharelado	Integral	Cáceres	UNEMAT	MT	Ampla concorrência	648.41	2020-01-25T00:05:20
Bacharelado	Integral	Cuiabá	UFMT	MT	Ampla concorrência	673.38	2020-01-25T00:05:20
Bacharelado	Integral	Diamantino	UNEMAT	MT	Ampla concorrência	639.97	2020-01-25T00:05:20
Bacharelado	Integral	Pontal do Araguaia	UFMT	MT	Ampla concorrência	651.60	2020-01-25T00:05:20
Bacharelado	Integral	Rondonópolis	UFMT	MT	Ampla concorrência	661.06	2020-01-25T00:05:20
Bacharelado	Integral	Sinop	UFMT	MT	Ampla concorrência	649.42	2020-01-25T00:05:20
Bacharelado	Integral	Tangará da Serra	UNEMAT	MT	Ampla concorrência	647.17	2020-01-25T00:05:20
Bacharelado	Integral	Cajazeiras	UFCG	PB	Ampla concorrência	679.28	2020-01-25T00:05:20
Bacharelado	Integral	Campina Grande	UEPB	PB	Ampla concorrência	680.28	2020-01-25T00:05:20
Bacharelado	Integral	Campina Grande	UFCG	PB	Ampla concorrência	695.60	2020-01-25T00:05:20
Bacharelado	Integral	Cuité	UFCG	PB	Ampla concorrência	658.24	2020-01-25T00:05:20
Bacharelado	Integral	João Pessoa	UFPB	PB	Ampla concorrência	685.98	2020-01-25T00:05:20
Bacharelado	Integral	Pesqueira	IFPE	PE	Ampla concorrência	662.18	2020-01-25T00:05:20
Bacharelado	Integral	Petrolina	UNIVASF	PE	Ampla concorrência	699.34	2020-01-25T00:05:20
Bacharelado	Integral	Petrolina	UPE	PE	Ampla concorrência	676.12	2020-01-25T00:05:20
Bacharelado	Integral	Recife	UFPE	PE	Ampla concorrência	720.62	2020-01-25T00:05:20
Bacharelado	Integral	Recife	UPE	PE	Ampla concorrência	686.28	2020-01-25T00:05:20
Bacharelado	Integral	Vitória de Santo Antão	UFPE	PE	Ampla concorrência	731.18	2020-01-25T00:05:20
Bacharelado	Integral	Floriano	UFPI	PI	Ampla concorrência	665.74	2020-01-25T00:05:20
Bacharelado	Integral	Parnaíba	UESPI	PI	Ampla concorrência	669.96	2020-01-25T00:05:20
Bacharelado	Integral	Picos	UESPI	PI	Ampla concorrência	646.77	2020-01-25T00:05:20
Bacharelado	Integral	Picos	UFPI	PI	Ampla concorrência	671.71	2020-01-25T00:05:20
Bacharelado	Integral	Teresina	UESPI	PI	Ampla concorrência	678.43	2020-01-25T00:05:20
Bacharelado	Integral	Teresina	UFPI	PI	Ampla concorrência	700.23	2020-01-25T00:05:20
Bacharelado	Integral	Bandeirantes	UENP	PR	Ampla concorrência	695.00	2020-01-25T00:05:20
Bacharelado	Integral	Cascavel	UNIOESTE	PR	Ampla concorrência	708.17	2020-01-25T00:05:20
Bacharelado	Integral	Foz do Iguaçu	UNIOESTE	PR	Ampla concorrência	691.03	2020-01-25T00:05:20
Bacharelado	Integral	Londrina	UEL	PR	Ampla concorrência	714.58	2020-01-25T00:05:20
Bacharelado	Integral	Paranavaí	UNESPAR	PR	Ampla concorrência	664.54	2020-01-25T00:05:20
Bacharelado	Integral	Niterói	UFF	RJ	Ampla concorrência	716.24	2020-01-25T00:05:20
Bacharelado	Integral	Rio das Ostras	UFF	RJ	Ampla concorrência	711.71	2020-01-25T00:05:20
Bacharelado	Integral	Rio de Janeiro	UFRJ	RJ	Ampla concorrência	734.48	2020-01-25T00:05:20
Bacharelado	Integral	Rio de Janeiro	UNIRIO	RJ	Ampla concorrência	709.04	2020-01-25T00:05:20
Bacharelado	Integral	Caicó	UERN	RN	Ampla concorrência	730.58	2020-01-25T00:05:20
Bacharelado	Integral	Mossoró	UERN	RN	Ampla concorrência	759.35	2020-01-25T00:05:20
Bacharelado	Integral	Natal	UFRN	RN	Ampla concorrência	672.65	2020-01-25T00:05:20
