2888	FILOSOFIA	60	0	Noturno	CENTRO DE FORMAÇÃO DE PROFESSORES	BA	UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA	UFRB	Amargosa	www.ufrb.edu.br/prosel	2	Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).	11	11	548.88	L
2888	FILOSOFIA	60	0	Noturno	CENTRO DE FORMAÇÃO DE PROFESSORES	BA	UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA	UFRB	Amargosa	www.ufrb.edu.br/prosel	14	Candidatos com deficiência autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).	1	1	.00	L
2888	FILOSOFIA	60	0	Noturno	CENTRO DE FORMAÇÃO DE PROFESSORES	BA	UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA	UFRB	Amargosa	www.ufrb.edu.br/prosel	10	Candidatos com deficiência autodeclarados pretos, pardos ou indígenas, que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)	1	1	.00	L
2888	FILOSOFIA	60	0	Noturno	CENTRO DE FORMAÇÃO DE PROFESSORES	BA	UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA	UFRB	Amargosa	www.ufrb.edu.br/prosel	1	Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).	3	3	548.48	L
2888	FILOSOFIA	60	0	Noturno	CENTRO DE FORMAÇÃO DE PROFESSORES	BA	UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA	UFRB	Amargosa	www.ufrb.edu.br/prosel	5	Candidatos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).	3	3	545.66	L
2888	FILOSOFIA	60	0	Noturno	CENTRO DE FORMAÇÃO DE PROFESSORES	BA	UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA	UFRB	Amargosa	www.ufrb.edu.br/prosel	3146	com Deficiência, Transtorno do Espectro Autista, Altas Habilidades/Superdotação e/ou estudantes que sejam público alvo da educação especial	2	2	.00	V
2703	FILOSOFIA	32	0	Noturno	UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA - UEFS	BA	UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA	UEFS	Feira de Santana	csa.uefs.br	0	Ampla concorrência	15	15	629.67	A
2703	FILOSOFIA	32	0	Noturno	UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA - UEFS	BA	UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA	UEFS	Feira de Santana	csa.uefs.br	2876	membros de comunidade quilombola	1	1	590.31	V
2703	FILOSOFIA	32	0	Noturno	UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA - UEFS	BA	UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA	UEFS	Feira de Santana	csa.uefs.br	2877	membros de grupos indígenas	1	1	527.62	V
2703	FILOSOFIA	32	0	Noturno	UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA - UEFS	BA	UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA	UEFS	Feira de Santana	csa.uefs.br	2874	que se declararem negros que tenham cursado todo o ensino médio e pelo menos dois anos do Ensino Fundamental II em escola pública seguindo a ordem de classificação	12	12	586.81	V
